ID,Epic,Task,Description,Deliverables,Acceptance Criteria
0,Program & Repo,Project charter & scope,"Define goals, success metrics ($1k bonus condition), non-goals, target audience (recruiters), and risk log.","CHARTER.md, SUCCESS_METRICS.md, RISK_LOG.md",Docs committed
0.1,Program & Repo,Monorepo scaffolding,"Create monorepo with apps/site (Next.js), packages/ui, packages/config, packages/cli, and infra directory.","Repo with pnpm workspaces, tsconfig base, eslint/prettier configs",`pnpm i && pnpm -w build` succeeds
0.2,Program & Repo,Branch protections & CODEOWNERS,Protect master with required checks, add CODEOWNERS, PR template
0.3,Program & Repo,Issue templates & labels,"GitHub issue templates for Feature, Bug, Tech Debt; labels for WBS IDs.",.github/ISSUE_TEMPLATE/*.yml,New issues render forms
1,Content & Positioning,One-line promise,Craft sharp positioning sentence for above-the-fold.,copy/positioning.md,<120 chars
1.1,Content & Positioning,Proof chips mapping,Choose 3 measurable claims and how they are evidenced on-site (links/demos).,copy/proof_chips.md,Each claim maps to a live artifact
1.2,Content & Positioning,Skim mode content matrix,Define the exact fields for recruiter skim mode and their source of truth.,content/skim_matrix.csv,"Fields cover scope, languages, domains, leadership, eligibility, timezone."
2,Design System,Typography & tokens,"Tailwind theme with font scale, spacing, radius, shadows; dark/light; print tokens.","packages/ui/tokens.ts, tailwind.config.mjs",Tokens used by components
2.1,Design System,Core components,"Buttons, Chips, Card, Badge, Tooltip, Tabs, Accordion, StatTile; a11y first.",packages/ui/*,Storybook stories
2.2,Design System,Page shells,"Responsive layout, sticky CTA, anchor nav, breadcrumbs, Footer.",apps/site/src/components/Shell/*,Layout stable across breakpoints
2.3,Design System,Print styles,CSS for two-page clean print of resume/skim.,apps/site/src/styles/print.css,"Window print preview yields 2 pages, no truncated sections."
3,Architecture,Next.js + TS app init,"Create Next.js app with app router, TS strict, edge runtime where possible.",apps/site,`pnpm dev` runs
3.1,Architecture,Routing & i18n,Set up i18n (EN + 日本語 + 中文) with static dictionaries and language switcher.,"i18n config, middleware, locale segments",Content toggles language
3.2,Architecture,MDX pipeline,"MDX for Engineering Notes with remark/rehype plugins (slug, autolink, code titles).","content/notes/*.mdx, lib/mdx.ts",MDX renders with TOC and anchors
